번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,PHONE_NUMBER,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
8681,554000001020160003,1,영업/정상,0,정상,,경기도 광주시 곤지암읍 곤지암리 453-7번지 ,031-769-5675,경기도 광주시 곤지암읍 곤지암로 70-14,12804.0,곤지암동물병원,2019-01-16,127.33843330804066,37.35010872160954
8682,554000001020160004,1,영업/정상,0,정상,,경기도 광주시 경안동 446-19번지 남성빌딩 ,031-762-8875,"경기도 광주시 파발로 107, 남성빌딩 (경안동)",12756.0,바른동물병원,2019-01-16,127.25877554406149,37.41361233568953
8683,554000001020160005,1,영업/정상,0,정상,,경기도 광주시 오포읍 신현리 709-10번지 ,031-726-4800,경기도 광주시 오포읍 태재로 21,12771.0,애플펫 동물병원,2019-01-16,127.15181841957937,37.36002455623959
8684,554000001020180001,1,영업/정상,0,정상,,경기도 광주시 오포읍 신현리 674 ,031-8022-7582,경기도 광주시 오포읍 신현로 89,12771.0,서울동물메디컬센터,2022-01-12,127.15684890868425,37.36045509784429
8685,554000001020180002,1,영업/정상,0,정상,,경기도 광주시 탄벌동 140번지 태경빌딩 ,031-767-7975,"경기도 광주시 탄벌길 7, 태경빌딩 (탄벌동)",12747.0,송정동물의료센터,2019-09-19,127.24583035011266,37.41918244484396
8686,554000001020180003,1,영업/정상,0,정상,,경기도 광주시 중대동 28-187번지 107호,031-761-1600,"경기도 광주시 고불로 32, 107호 (중대동)",12768.0,알프스동물병원,2018-08-31,127.23392896227999,37.39380555298531
8687,554000001020180004,1,영업/정상,0,정상,,경기도 광주시 목현동 249-15 ,031-761-7675,"경기도 광주시 이배재로 356-1, C동 1층 1호 (목현동)",12765.0,한국영양전문동물병원,2021-10-21,127.2208108185645,37.43568810763191
8688,554000001020180005,1,영업/정상,0,정상,,경기도 광주시 오포읍 신현리 367-14번지 ,031-713-0103,"경기도 광주시 오포읍 신현로 123, 2층",12771.0,참좋은동물병원,2019-05-12,127.1601464073331,37.35884958412806
8689,554000001020190001,1,영업/정상,0,정상,,경기도 광주시 송정동 8-6번지 ,031-797-5528,경기도 광주시 경안천로 131 (송정동),12740.0,원동물병원,2019-01-04,127.27372827754851,37.41708029477695
8692,557000001020000001,1,영업/정상,0,정상,,충청북도 증평군 증평읍 신동리 111번지 ,836-4020,충청북도 증평군 증평읍 중앙로 170-3,27937.0,우리동물병원,2019-01-17,127.57895737828896,36.781707773199514
8693,557000001020190001,1,영업/정상,0,정상,,충청북도 증평군 증평읍 증천리 585번지 ,838-4742,"충청북도 증평군 증평읍 증평로 100, 1층",27934.0,하나동물병원,2019-12-13,127.5947491155351,36.782245434266876
8694,557000001020020002,1,영업/정상,0,정상,,충청북도 증평군 증평읍 창동리 791번지 ,043 -838 -4275,충청북도 증평군 증평읍 창신로 45,27928.0,우주동물병원,2018-10-09,127.57832370888673,36.78156779934213
8696,557000001020010002,1,영업/정상,0,정상,,충청북도 증평군 증평읍 교동리 39번지 ,,충청북도 증평군 증평읍 중앙로 230,27931.0,증평동물병원,2018-10-09,127.58346573740756,36.78554592326061
8698,558000001020090001,1,영업/정상,0,정상,,충청남도 계룡시 엄사면 엄사리 184-4 지하 1층 ,,"충청남도 계룡시 엄사면 엄사중앙로 93, 지하 1층",32805.0,충남동물병원,2021-12-24,127.24162555343568,36.289078601353744
8699,558000001020040001,1,영업/정상,0,정상,,충청남도 계룡시 엄사면 엄사리 171-8 171-8 ,042-841-7533,충청남도 계룡시 엄사면 전원로 8,32803.0,신도안동물병원,2020-09-27,127.2418580903146,36.29043380473284
8700,558000001020030001,1,영업/정상,0,정상,,충청남도 계룡시 엄사면 엄사리 243-1번지 ,,"충청남도 계룡시 엄사면 번영로 56, 1층",32806.0,노아동물병원,2019-03-08,127.23910364204134,36.28909680641595
8706,559000001020060001,1,영업/정상,0,정상,,경기도 양주시 은현면 선암리 342-2번지 ,031-859-0087,경기도 양주시 은현면 은현로 73-8,11427.0,안민 동물병원,2020-04-08,127.02374422168045,37.875440519532155
8707,559000001020090001,1,영업/정상,0,정상,,경기도 양주시 광사동 654-3번지 더테라스 102호,031-865-5700,"경기도 양주시 고읍남로 14, 더테라스 102호 (광사동)",11492.0,해맑은동물병원,2020-06-13,127.07963999422209,37.795175384833705
8708,559000001020100001,1,영업/정상,0,정상,,경기도 양주시 옥정동 1049-1번지 ,031-858-2918,"경기도 양주시 옥정로 151, 힐링프라자 3층 2호 (옥정동)",11479.0,반창꼬동물병원,2020-05-21,127.09033890293016,37.81536631855072
8709,559000001020030003,1,영업/정상,0,정상,,경기도 양주시 광적면 가납리 728-12 1통4반 ,031-836-3507,경기도 양주시 광적면 가래비길 39,11419.0,광적동물병원,2021-07-03,126.9864190658621,37.82265184118394
8710,559000001020030011,1,영업/정상,0,정상,,경기도 양주시 광적면 가납리 847-2 ,,경기도 양주시 광적면 가래비9길 12-27,11419.0,의양동물병원,2021-07-03,126.98239064114051,37.824505582423754
8711,559000001020120001,1,영업/정상,0,정상,,경기도 양주시 고읍동 52-3 ,031-863-2223,"경기도 양주시 고덕로355번길 28-37, 2층 (고읍동)",11480.0,양주축협동물병원,2021-04-17,127.08169521861643,37.80572774988914
8713,559000001020200002,1,영업/정상,0,정상,,경기도 양주시 남면 상수리 165-14번지 ,,경기도 양주시 남면 화합로 642,11426.0,동산동물병원,2020-05-23,127.0008302125981,37.87110082217836
8714,559000001020200003,1,영업/정상,0,정상,,경기도 양주시 은현면 선암리 342-18번지 ,,"경기도 양주시 은현면 은현로 73-14, 1층 1호",11427.0,건우동물병원,2020-06-18,127.0234231799354,37.875380883320425
8715,559000001020190002,1,영업/정상,0,정상,,경기도 양주시 옥정동 963-18번지 ,031-868-0075,"경기도 양주시 회천남로 76, 한덕타워 2층 01호 (옥정동)",11473.0,양주 온 동물병원,2020-05-21,127.09404657500154,37.818557520903596
8716,559000001020190001,1,영업/정상,0,정상,,경기도 양주시 회정동 347번지 ,031-861-7588,경기도 양주시 평화로 1557 (회정동),11439.0,덕계동물병원,2020-06-13,127.05309062085503,37.828244837348905
8717,559000001020130001,1,영업/정상,0,정상,,경기도 양주시 남면 상수리 341-4 ,031-868-5061,경기도 양주시 남면 화합로 583,11409.0,현대가축병원,2021-07-03,126.99433181065837,37.871902028757034
8718,559000001020140001,1,영업/정상,0,정상,,,031-857-7551,"경기도 양주시 회정로 120, 101동 1호 (덕정동)",11456.0,덕정동물병원,2021-07-03,127.0665021563975,37.83723180864686
8719,559000001020150001,1,영업/정상,0,정상,,경기도 양주시 광적면 석우리 449-2번지 ,031-855-3113,경기도 양주시 광적면 광적로 186,11414.0,양주동물병원,2019-01-16,126.97688040285111,37.83443161265106
8720,559000001020170001,1,영업/정상,0,정상,,경기도 양주시 남면 상수리 410-1번지 ,031-867-9119,경기도 양주시 남면 감악산로 63-37,11409.0,사단법인 한국동물구조관리협회 동물병원,2018-08-31,126.98323963174805,37.87012969239075
8721,559000001020170002,1,영업/정상,0,정상,,경기도 양주시 광사동 652-1 201호,031-848-9111,"경기도 양주시 부흥로 1938, 201호 (광사동)",11492.0,양주24시해든동물의료센터,2021-10-29,127.07812559600468,37.79490078652489
8722,559000001020030005,1,영업/정상,0,정상,,경기도 양주시 백석읍 오산리 541-3번지 ,031-879-7433,경기도 양주시 백석읍 꿈나무로 163,11509.0,백석동물병원,2019-03-10,126.98919211215028,37.79490412689804
8723,559000001020030007,1,영업/정상,0,정상,,경기도 양주시 광적면 석우리 417-5번지 ,031-879-4650,경기도 양주시 광적면 광적로 119,11414.0,김동물병원,2019-03-10,126.97961764433545,37.82896083982611
8724,559000001020030008,1,영업/정상,0,정상,,경기도 양주시 고암동 129-1번지 ,031-857-7570,경기도 양주시 고암길 58 (고암동),11457.0,로얄동물병원,2020-06-13,127.06930665200275,37.831652891475734
8735,559000001020210001,1,영업/정상,0,정상,,경기도 양주시 옥정동 1036-7 ,031-859-8275,"경기도 양주시 옥정동로7길 30, 2층 1~3호 (옥정동)",11473.0,24시 양주 힐 동물의료센터,2021-11-05,127.09749444144421,37.82123891641862
8738,560000001020210001,1,영업/정상,0,정상,,경기도 포천시 가산면 마산리 427-4 6호,,"경기도 포천시 가산면 가산로309번길 1, 6호",11164.0,선동물병원,2021-06-02,127.18381618335246,37.845545967591555
8765,560000001020130002,1,영업/정상,0,정상,,경기도 포천시 소흘읍 송우리 93-7번지 ,031-544-0275,경기도 포천시 소흘읍 솔모루로 118,11174.0,사랑종합동물병원,2018-08-31,127.14957029753451,37.8313286153074
8766,560000001020190005,1,영업/정상,0,정상,,경기도 포천시 자작동 274-11번지 ,,경기도 포천시 호국로 1184 (자작동),11158.0,한성동물병원,2019-05-15,127.17701265742892,37.86831772584377
8767,560000001020190004,1,영업/정상,0,정상,,경기도 포천시 신북면 기지리 818-12 ,031-535-8037,경기도 포천시 신북면 호국로 2013,11139.0,누리팜동물병원,2021-10-30,127.22369680539025,37.93003491745574
